Year,Month,Day,Precipitation,MaxTemp,MinTemp
2024,01,01,0.0,29.6,21.9
2024,01,02,0.0,27.9,21.9
2024,01,03,0.0,28.3,21.5
2024,01,04,0.0,26.1,22.6
2024,01,05,0.0,29.2,22.0
2024,01,06,0.0,28.3,22.9
2024,01,07,0.0,30.1,23.6
2024,01,08,0.05,27.5,23.1
2024,01,09,0.0,26.4,21.0
2024,01,10,0.0,28.9,21.7
2024,01,11,0.0,27.4,21.1
2024,01,12,0.0,26.7,20.6
2024,01,13,0.0,29.6,23.3
2024,01,14,0.0,29.4,23.0
2024,01,15,0.0,30.5,23.2
2024,01,16,0.05,27.8,21.9
2024,01,17,0.0,28.1,21.2
2024,01,18,0.0,29.1,21.7
2024,01,19,0.0,29.4,21.0
2024,01,20,0.05,29.4,22.9
2024,01,21,0.05,28.4,22.5
2024,01,22,0.05,28.6,21.1
2024,01,23,0.0,30.5,21.7
2024,01,24,0.0,27.4,24.9
2024,01,25,0.0,28.8,22.4
2024,01,26,0.0,28.0,21.2
2024,01,27,0.0,28.9,22.3
2024,01,28,0.0,29.4,24.0
2024,01,29,0.0,29.9,21.1
2024,01,30,0.0,27.9,22.1
2024,01,31,0.0,29.9,22.4
2024,02,01,0.0,27.7,22.3
2024,02,02,0.0,29.6,22.7
2024,02,03,0.0,30.3,22.3
2024,02,04,0.0,30.2,22.0
2024,02,05,0.05,29.1,21.9
2024,02,06,0.0,29.3,22.6
2024,02,07,0.0,28.8,19.9
2024,02,08,0.0,27.8,22.6
2024,02,09,0.0,30.0,22.8
2024,02,10,0.05,27.4,22.5
2024,02,11,0.0,29.3,22.6
2024,02,12,0.0,30.0,22.2
2024,02,13,0.0,29.1,21.7
2024,02,14,0.0,29.7,21.5
2024,02,15,0.0,28.0,20.3
2024,02,16,0.0,29.9,21.9
2024,02,17,0.0,27.4,21.0
2024,02,18,0.0,30.3,22.9
2024,02,19,0.0,29.8,20.4
2024,02,20,0.05,29.7,22.9
2024,02,21,0.0,27.6,20.3
2024,02,22,0.05,27.9,21.3
2024,02,23,0.0,28.4,22.9
2024,02,24,0.0,30.5,21.6
2024,02,25,0.0,28.9,21.3
2024,02,26,0.0,29.6,22.7
2024,02,27,0.0,29.2,22.4
2024,02,28,0.0,27.4,23.6
2024,02,29,0.0,28.6,21.0
2024,03,01,0.0,26.9,21.4
2024,03,02,0.0,25.6,20.2
2024,03,03,0.0,30.3,21.9
2024,03,04,0.0,28.1,22.2
2024,03,05,0.0,28.6,22.0
2024,03,06,0.0,27.4,21.7
2024,03,07,0.0,28.4,20.8
2024,03,08,0.0,25.3,22.9
2024,03,09,0.05,29.5,20.9
2024,03,10,0.0,29.4,22.4
2024,03,11,0.0,28.8,21.2
2024,03,12,0.0,28.1,21.8
2024,03,13,0.0,25.8,21.1
2024,03,14,0.0,30.2,21.9
2024,03,15,0.05,28.1,21.6
2024,03,16,0.0,28.7,22.4
2024,03,17,0.05,29.3,21.7
2024,03,18,0.0,28.4,23.0
2024,03,19,0.0,26.1,21.1
2024,03,20,0.0,29.5,22.3
2024,03,21,0.0,27.0,21.5
2024,03,22,0.0,28.1,20.7
2024,03,23,0.0,29.7,20.8
2024,03,24,0.0,26.3,22.3
2024,03,25,0.0,27.1,20.6
2024,03,26,0.0,29.1,20.9
2024,03,27,0.0,30.0,19.8
2024,03,28,0.0,27.9,21.2
2024,03,29,0.0,29.6,20.8
2024,03,30,0.05,26.1,20.9
2024,03,31,0.0,28.4,21.7
2024,04,01,0.0,23.4,18.9
2024,04,02,0.0,26.3,21.0
2024,04,03,0.0,24.4,20.4
2024,04,04,0.0,24.7,20.5
2024,04,05,0.0,24.5,19.2
2024,04,06,0.0,26.0,21.6
2024,04,07,0.0,26.8,19.6
2024,04,08,0.0,26.2,20.1
2024,04,09,0.0,24.7,17.8
2024,04,10,0.0,25.5,18.1
2024,04,11,0.0,24.4,18.4
2024,04,12,0.0,25.1,19.9
2024,04,13,0.0,23.3,19.3
2024,04,14,0.0,24.2,19.2
2024,04,15,0.0,24.5,18.4
2024,04,16,0.05,24.1,20.1
2024,04,17,0.0,27.1,19.8
2024,04,18,0.0,28.7,20.6
2024,04,19,0.0,24.0,19.3
2024,04,20,0.0,23.1,19.7
2024,04,21,0.0,25.0,21.0
2024,04,22,0.0,24.5,21.1
2024,04,23,0.0,25.3,20.3
2024,04,24,0.0,24.2,19.0
2024,04,25,0.05,25.0,20.0
2024,04,26,0.0,27.5,21.1
2024,04,27,0.0,25.8,18.7
2024,04,28,0.0,25.8,17.8
2024,04,29,0.0,22.9,20.7
2024,04,30,0.0,25.8,18.5
2024,05,01,0.05,23.1,18.4
2024,05,02,0.0,22.7,17.1
2024,05,03,0.0,23.2,17.5
2024,05,04,0.0,23.0,16.6
2024,05,05,0.0,23.5,15.3
2024,05,06,0.05,21.7,14.8
2024,05,07,0.0,20.3,18.0
2024,05,08,0.05,21.4,17.3
2024,05,09,0.0,21.4,17.5
2024,05,10,0.0,23.5,18.0
2024,05,11,0.05,22.1,17.8
2024,05,12,0.0,25.2,16.1
2024,05,13,0.0,24.2,16.5
2024,05,14,0.0,20.5,17.3
2024,05,15,0.0,20.5,16.4
2024,05,16,0.0,25.4,17.1
2024,05,17,0.0,21.8,18.3
2024,05,18,0.0,21.3,16.9
2024,05,19,0.05,21.9,18.0
2024,05,20,0.0,21.8,16.9
2024,05,21,0.0,21.4,17.2
2024,05,22,0.0,21.0,15.7
2024,05,23,0.0,23.1,15.5
2024,05,24,0.05,23.8,15.2
2024,05,25,0.0,23.0,17.0
2024,05,26,0.0,25.6,17.1
2024,05,27,0.05,21.8,18.1
2024,05,28,0.0,24.2,14.3
2024,05,29,0.0,22.1,17.2
2024,05,30,0.0,23.1,16.7
2024,05,31,0.0,23.1,16.2
2024,06,01,0.2,18.6,13.9
2024,06,02,0.1,20.7,14.7
2024,06,03,0.0,20.5,13.6
2024,06,04,0.0,18.8,14.2
2024,06,05,0.0,18.0,13.7
2024,06,06,0.0,18.9,15.5
2024,06,07,0.0,20.7,14.5
2024,06,08,0.0,20.5,15.6
2024,06,09,0.2,18.0,14.6
2024,06,10,0.0,20.0,12.8
2024,06,11,0.0,18.4,13.6
2024,06,12,0.2,18.3,15.0
2024,06,13,0.0,19.0,16.0
2024,06,14,0.0,19.7,13.7
2024,06,15,0.0,20.4,16.0
2024,06,16,0.0,19.4,13.4
2024,06,17,0.0,22.6,14.4
2024,06,18,0.0,18.0,13.2
2024,06,19,0.0,17.6,14.1
2024,06,20,0.0,20.3,15.5
2024,06,21,0.2,20.0,15.1
2024,06,22,0.0,19.5,14.5
2024,06,23,0.2,20.5,14.6
2024,06,24,0.2,19.3,13.5
2024,06,25,0.0,18.9,15.4
2024,06,26,0.2,20.6,12.5
2024,06,27,0.1,21.0,13.6
2024,06,28,0.2,22.0,15.0
2024,06,29,0.0,17.9,15.1
2024,06,30,0.2,18.9,15.9
2024,07,01,0.0,18.7,13.0
2024,07,02,0.0,17.3,14.2
2024,07,03,0.0,19.5,14.7
2024,07,04,0.0,20.2,13.0
2024,07,05,0.2,20.9,14.2
2024,07,06,0.0,20.1,15.0
2024,07,07,0.0,17.5,14.7
2024,07,08,0.2,19.9,14.1
2024,07,09,0.0,21.4,16.3
2024,07,10,0.0,19.3,12.7
2024,07,11,0.1,18.5,14.6
2024,07,12,0.2,19.5,16.3
2024,07,13,0.2,15.3,13.6
2024,07,14,0.2,20.2,16.5
2024,07,15,0.0,20.2,15.6
2024,07,16,0.2,18.1,13.8
2024,07,17,0.0,18.7,15.0
2024,07,18,0.0,18.8,15.1
2024,07,19,0.2,19.2,14.5
2024,07,20,0.1,17.9,15.2
2024,07,21,0.0,19.4,14.2
2024,07,22,0.0,19.7,14.9
2024,07,23,0.0,18.7,14.5
2024,07,24,0.1,20.8,16.2
2024,07,25,0.0,20.4,15.6
2024,07,26,0.2,19.6,15.7
2024,07,27,0.0,19.8,13.9
2024,07,28,0.0,19.4,15.1
2024,07,29,0.0,20.9,13.6
2024,07,30,0.1,19.4,15.6
2024,07,31,0.0,20.3,15.2
2024,08,01,0.0,20.2,15.7
2024,08,02,0.1,18.2,15.3
2024,08,03,0.0,21.0,14.3
2024,08,04,0.0,20.4,14.9
2024,08,05,0.0,18.8,15.0
2024,08,06,0.1,20.0,14.6
2024,08,07,0.2,18.9,15.0
2024,08,08,0.0,21.1,15.6
2024,08,09,0.0,20.1,14.4
2024,08,10,0.0,19.6,17.4
2024,08,11,0.0,19.8,16.3
2024,08,12,0.0,22.1,16.1
2024,08,13,0.0,20.6,14.4
2024,08,14,0.1,19.4,18.1
2024,08,15,0.2,19.7,13.3
2024,08,16,0.1,17.8,14.1
2024,08,17,0.0,21.1,17.9
2024,08,18,0.0,21.3,15.0
2024,08,19,0.0,18.5,13.5
2024,08,20,0.0,20.5,14.3
2024,08,21,0.1,18.0,14.9
2024,08,22,0.0,22.2,15.9
2024,08,23,0.0,21.0,13.8
2024,08,24,0.0,19.9,15.5
2024,08,25,0.1,19.3,13.0
2024,08,26,0.0,20.8,13.6
2024,08,27,0.2,21.7,13.4
2024,08,28,0.1,19.4,16.8
2024,08,29,0.2,18.5,15.6
2024,08,30,0.0,19.3,15.0
2024,08,31,0.0,18.1,15.5
2024,09,01,0.0,22.8,14.5
2024,09,02,0.0,22.2,14.7
2024,09,03,0.0,22.2,14.6
2024,09,04,0.0,22.3,15.0
2024,09,05,0.0,22.3,14.4
2024,09,06,0.05,20.3,15.1
2024,09,07,0.0,21.2,15.0
2024,09,08,0.05,22.9,14.3
2024,09,09,0.0,19.7,14.6
2024,09,10,0.0,22.9,17.5
2024,09,11,0.0,20.7,14.2
2024,09,12,0.0,22.0,14.5
2024,09,13,0.05,21.6,16.6
2024,09,14,0.05,18.6,15.0
2024,09,15,0.0,23.1,15.6
2024,09,16,0.0,21.3,16.1
2024,09,17,0.0,24.0,15.8
2024,09,18,0.0,22.6,13.9
2024,09,19,0.0,21.6,16.8
2024,09,20,0.0,20.8,15.8
2024,09,21,0.0,20.9,16.7
2024,09,22,0.05,22.9,15.9
2024,09,23,0.0,20.2,16.0
2024,09,24,0.0,20.6,16.4
2024,09,25,0.0,22.2,16.2
2024,09,26,0.0,22.1,14.8
2024,09,27,0.0,20.8,14.6
2024,09,28,0.0,20.8,14.1
2024,09,29,0.0,20.8,17.4
2024,09,30,0.0,21.9,15.0
2024,10,01,0.0,24.5,16.2
2024,10,02,0.0,22.7,16.3
2024,10,03,0.0,22.9,17.7
2024,10,04,0.0,22.2,18.2
2024,10,05,0.05,25.5,17.9
2024,10,06,0.0,25.1,18.2
2024,10,07,0.0,22.6,18.7
2024,10,08,0.0,22.4,17.2
2024,10,09,0.05,23.6,18.7
2024,10,10,0.0,23.9,18.5
2024,10,11,0.0,22.6,16.2
2024,10,12,0.05,25.1,17.5
2024,10,13,0.0,24.5,17.5
2024,10,14,0.0,23.5,15.0
2024,10,15,0.05,24.6,17.2
2024,10,16,0.0,24.2,17.0
2024,10,17,0.0,22.6,20.1
2024,10,18,0.0,25.2,18.1
2024,10,19,0.0,24.1,18.5
2024,10,20,0.05,21.3,16.9
2024,10,21,0.0,23.6,17.3
2024,10,22,0.05,22.8,16.9
2024,10,23,0.0,23.1,16.8
2024,10,24,0.0,25.3,18.8
2024,10,25,0.05,24.1,16.5
2024,10,26,0.0,23.3,18.5
2024,10,27,0.0,21.9,17.4
2024,10,28,0.0,22.8,17.9
2024,10,29,0.0,21.1,19.6
2024,10,30,0.0,24.4,16.3
2024,10,31,0.0,25.3,17.3
2024,11,01,0.0,25.9,19.3
2024,11,02,0.05,22.6,19.4
2024,11,03,0.0,25.5,18.7
2024,11,04,0.0,26.8,20.1
2024,11,05,0.0,24.3,18.2
2024,11,06,0.0,26.9,20.2
2024,11,07,0.0,24.0,19.0
2024,11,08,0.0,26.7,19.4
